year,session,utt_id,morph_issue,morph_path,source_pcm_seconds,source_pcm_category,text_duration_status,csv_duration_seconds,hangul_syllables,eojeol_count,hangul_syllables_per_second,eojeol_per_second,exclusion_reason,recommended_action
2021,SDRW2100000024,SDRW2100000024.1.1.152,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000024\SDRW2100000024.1.1.152.TextGrid,0.030,원본짧음,ok,0.035000,4,1,114.286,28.571,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000024,SDRW2100000024.1.1.236,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000024\SDRW2100000024.1.1.236.TextGrid,0.110,원본짧음,ok,0.111000,19,9,171.171,81.081,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000039,SDRW2100000039.1.1.199,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000039\SDRW2100000039.1.1.199.TextGrid,0.100,원본짧음,ok,0.100000,11,3,110.000,30.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000039,SDRW2100000039.1.1.207,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000039\SDRW2100000039.1.1.207.TextGrid,0.100,원본짧음,ok,0.100000,10,3,100.000,30.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000059,SDRW2100000059.1.1.57,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000059\SDRW2100000059.1.1.57.TextGrid,0.100,원본짧음,ok,0.100000,16,7,160.000,70.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000154,SDRW2100000154.1.1.417,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000154\SDRW2100000154.1.1.417.TextGrid,0.030,원본짧음,ok,0.029000,5,2,172.414,68.966,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000157,SDRW2100000157.1.1.43,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000157\SDRW2100000157.1.1.43.TextGrid,0.000,원본짧음,nonpositive_duration,,8,4,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000224,SDRW2100000224.1.1.148,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000224\SDRW2100000224.1.1.148.TextGrid,0.000,원본짧음,nonpositive_duration,,3,1,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000224,SDRW2100000224.1.1.33,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000224\SDRW2100000224.1.1.33.TextGrid,0.110,원본짧음,ok,0.100000,12,4,120.000,40.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000317,SDRW2100000317.1.1.95,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000317\SDRW2100000317.1.1.95.TextGrid,0.000,원본짧음,nonpositive_duration,,4,3,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000329,SDRW2100000329.1.1.318,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000329\SDRW2100000329.1.1.318.TextGrid,0.000,원본짧음,nonpositive_duration,,17,7,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
