year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100003760,SDRW2100003760.1.1.317,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003760\SDRW2100003760.1.1.317.lab,38,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003760\SDRW2100003760.1.1.317.wav,True,True,
2021,SDRW2100003760,SDRW2100003760.1.1.318,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003760\SDRW2100003760.1.1.318.lab,31,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003760\SDRW2100003760.1.1.318.wav,True,True,
2021,SDRW2100003768,SDRW2100003768.1.1.136,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003768\SDRW2100003768.1.1.136.lab,105,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003768\SDRW2100003768.1.1.136.wav,True,True,
2021,SDRW2100003790,SDRW2100003790.1.1.206,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003790\SDRW2100003790.1.1.206.lab,96,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003790\SDRW2100003790.1.1.206.wav,True,True,
2021,SDRW2100003806,SDRW2100003806.1.1.239,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003806\SDRW2100003806.1.1.239.lab,100,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003806\SDRW2100003806.1.1.239.wav,True,True,
2021,SDRW2100003815,SDRW2100003815.1.1.311,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003815\SDRW2100003815.1.1.311.lab,79,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003815\SDRW2100003815.1.1.311.wav,True,True,
2021,SDRW2100003828,SDRW2100003828.1.1.240,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003828\SDRW2100003828.1.1.240.lab,55,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003828\SDRW2100003828.1.1.240.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100003831,SDRW2100003831.1.1.60,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003831\SDRW2100003831.1.1.60.lab,56,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003831\SDRW2100003831.1.1.60.wav,True,True,
2021,SDRW2100003849,SDRW2100003849.1.1.446,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003849\SDRW2100003849.1.1.446.lab,25,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003849\SDRW2100003849.1.1.446.wav,True,True,
2021,SDRW2100003858,SDRW2100003858.1.1.109,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003858\SDRW2100003858.1.1.109.lab,98,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003858\SDRW2100003858.1.1.109.wav,True,True,
