year,session,target_utt_id,source_utt_id,status,block_length,target_duration_seconds,source_duration_seconds,duration_residual_seconds,source_wav
2021,SDRW2100000800,SDRW2100000800.1.1.196,SDRW2100000800.1.1.196,identity_high_confidence,1,1.58,1.579875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.196.wav
2021,SDRW2100000800,SDRW2100000800.1.1.197,SDRW2100000800.1.1.197,identity_high_confidence,1,2.797,2.799875,-0.007125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.197.wav
2021,SDRW2100000800,SDRW2100000800.1.1.198,SDRW2100000800.1.1.198,identity_high_confidence,1,3.108,3.099875,-0.018125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.198.wav
2021,SDRW2100000800,SDRW2100000800.1.1.199,SDRW2100000800.1.1.199,identity_high_confidence,1,1.305,1.309875,-0.005125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.199.wav
2021,SDRW2100000800,SDRW2100000800.1.1.200,SDRW2100000800.1.1.200,identity_high_confidence,1,3.05,3.049875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.200.wav
2021,SDRW2100000800,SDRW2100000800.1.1.201,SDRW2100000800.1.1.201,identity_high_confidence,1,3.86,3.859875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.201.wav
2021,SDRW2100000800,SDRW2100000800.1.1.202,SDRW2100000800.1.1.202,identity_high_confidence,1,2.95,2.949875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.202.wav
2021,SDRW2100000800,SDRW2100000800.1.1.203,SDRW2100000800.1.1.203,identity_high_confidence,1,4.58,4.579875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.203.wav
2021,SDRW2100000800,SDRW2100000800.1.1.204,SDRW2100000800.1.1.204,identity_high_confidence,1,2.45,2.449875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.204.wav
2021,SDRW2100000800,SDRW2100000800.1.1.205,SDRW2100000800.1.1.205,identity_high_confidence,1,2.626,2.629875,-0.006125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.205.wav
2021,SDRW2100000800,SDRW2100000800.1.1.206,SDRW2100000800.1.1.206,identity_high_confidence,1,0.88,0.88,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.206.wav
2021,SDRW2100000800,SDRW2100000800.1.1.207,SDRW2100000800.1.1.207,identity_high_confidence,1,3.308,3.309875,-0.008125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.207.wav
2021,SDRW2100000800,SDRW2100000800.1.1.208,SDRW2100000800.1.1.208,identity_high_confidence,1,2.604,2.599875,-0.014125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.208.wav
2021,SDRW2100000800,SDRW2100000800.1.1.209,SDRW2100000800.1.1.209,identity_high_confidence,1,3.804,3.809875,-0.004125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.209.wav
2021,SDRW2100000800,SDRW2100000800.1.1.210,SDRW2100000800.1.1.210,identity_high_confidence,1,0.82,0.819875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.210.wav
2021,SDRW2100000800,SDRW2100000800.1.1.211,SDRW2100000800.1.1.211,identity_high_confidence,1,2.612,2.609875,-0.012125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.211.wav
2021,SDRW2100000800,SDRW2100000800.1.1.212,SDRW2100000800.1.1.212,identity_high_confidence,1,1.948,1.949875,-0.008125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.212.wav
2021,SDRW2100000800,SDRW2100000800.1.1.213,SDRW2100000800.1.1.213,identity_high_confidence,1,1.69,1.689875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.213.wav
2021,SDRW2100000800,SDRW2100000800.1.1.214,SDRW2100000800.1.1.214,identity_high_confidence,1,3.82,3.819875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.214.wav
2021,SDRW2100000800,SDRW2100000800.1.1.215,SDRW2100000800.1.1.215,identity_high_confidence,1,3.08,3.079875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.215.wav
2021,SDRW2100000800,SDRW2100000800.1.1.216,SDRW2100000800.1.1.216,identity_high_confidence,1,3.204,3.199875,-0.014125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.216.wav
2021,SDRW2100000800,SDRW2100000800.1.1.217,SDRW2100000800.1.1.217,identity_high_confidence,1,3.496,3.499875,-0.006125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.217.wav
2021,SDRW2100000800,SDRW2100000800.1.1.218,SDRW2100000800.1.1.218,identity_high_confidence,1,1.98,1.979875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.218.wav
2021,SDRW2100000800,SDRW2100000800.1.1.219,SDRW2100000800.1.1.219,identity_high_confidence,1,2.72,2.719875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.219.wav
2021,SDRW2100000800,SDRW2100000800.1.1.220,SDRW2100000800.1.1.220,identity_high_confidence,1,2.17,2.169875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.220.wav
2021,SDRW2100000800,SDRW2100000800.1.1.221,SDRW2100000800.1.1.221,identity_high_confidence,1,1.31,1.309875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.221.wav
