projection_status,diagnostic_layer,diagnostic_class,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,example_targets_json
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,single_candidate_unit_extra,CANDIDATE_ONLY:I,182,183,1028,66,163,126,166,216,291,"[""갑쌍선"", ""갑쌍샘"", ""밥쌍머리"", ""캡싸이신"", ""곱쓸""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;SUB:NG>N,81,81,910,156,80,84,168,112,310,"[""편곡짜"", ""펴닌가요"", ""펴니신가요"", ""펴닌가"", ""편고글""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;SUB:NG>G,120,121,881,110,183,143,114,176,155,"[""한국씨리즈"", ""인구학짜"", ""전국씨대"", ""한국꺼래소"", ""한국쩐쟁""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:D;RULE_ONLY:W,113,113,880,92,231,154,119,157,127,"[""늗춰지다"", ""맏춰야"", ""갇춰야"", ""갇춰진"", ""맏춰야지""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:B;SUB:M>L;SUB:N>Y,175,175,867,56,223,77,51,202,258,"[""입려글"", ""입려캐"", ""답례푸믈"", ""입려기"", ""시럽류리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:M>N,180,180,864,122,194,127,123,121,177,"[""장년부터"", ""년바께"", ""항년부터"", ""장년보다"", ""장년보다는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;RULE_ONLY:G;SUB:NG>L;SUB:N>Y,42,42,837,57,271,111,85,166,147,"[""확류리"", ""확류른"", ""확률저그로"", ""확류를"", ""회복려기""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>N;SUB:NG>N,96,96,814,72,196,124,85,168,169,"[""이런반구"", ""인는가"", ""인는게"", ""인는가에"", ""인는가요""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:G;RULE_ONLY:W,177,177,809,82,186,169,90,130,152,"[""체육꽌"", ""직꽌"", ""수족꽌"", ""복꿘"", ""식꿘""]"
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:Y;CANDIDATE_ONLY:Y,28,28,410,31,83,56,93,110,37,"[""자격쯩은"", ""부자굥은"", ""그뮹은"", ""이명웅이랑"", ""보굥은""]"
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,mixed_or_cross_group_difference,CANDIDATE_ONLY:D;SUB:Y>S,28,28,275,10,60,34,36,62,73,"[""오싀"", ""로보싀"", ""인터네싀"", ""날거싀"", ""버서싀""]"
hold_no_unanimous_exact_context_donor,contrast_review_required,single_contrast_within_acoustic_model_group,SUB:G>K,28,28,97,59,16,1,2,15,4,"[""심서킈"", ""심서킈가"", ""심서킈는"", ""손서킈"", ""심서킈도""]"
hold_candidate_only_deletion_requires_policy,representation_review_required,run_length_difference_without_complete_length_support,CANDIDATE_ONLY:I,24,24,94,10,26,19,6,10,23,"[""시닙싸원"", ""그립씀니다"", ""깁씀니다"", ""빕쓰가"", ""빕쓰는""]"
hold_no_unanimous_exact_context_donor,contrast_review_required,multiple_contrasts_within_acoustic_model_group,SUB:K>G;SUB:D>T,2,2,2,0,2,0,0,0,0,"[""럭삐팀"", ""럭삐티미""]"
