year,speaker_id,utt_id,target_token,eojeol_idx,form,lab_text,eojeol_map_status,tagged_group,morph_signature,candidate_id,pron_hangul,pron_source_field,urimal_id,lexicon_pos,sense_no,match_status,occurrence_mfa_status,match_reason,global_plain_word_status,manual_decision,manual_notes,source_search_master_csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,46a22a9b853f914123f23693e016987a4dc2e78d14fbe1da17995453747463a8,읻따,pron_1,338639,VA,009,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,b158f24ce333207aecb4b776f185475c6da28e1ed31d97c0b65ba11c148d70e7,읻따,pron_1,338674,VA,010,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,a89e62a1e9ea8a4bfd5ff0e8fb2061256ad0cb0dc3cfe8ed23e44dc6ebae80a2,읻따,pron_1,338674,VA,010,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,18d3f9063eef005012aa8b2939d5f7188e913fb7f3223e87c30fdfd2d01430e6,읻따,pron_1,334087,VA,011,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,420b60a69e66c7674ad3886c48d312fbdcda726edc895176e7746a7f4d9c6e25,읻따,pron_1,337505,VA,012,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,bbbc7128c8872d8ed520e1f9e388a59303631dd02d450c052702bd47b15d89ab,읻따,pron_1,338263,VA,013,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,4fb6b3a51721ddb566fde57b270ba5568c069097286b24b2a61f9fc2e557dc72,읻따,pron_1,338556,VA,014,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,26681cc7a9fff13a580fd909217d2e7e77df5b166c4164bb379e90f43fe2dfae,읻따,pron_1,338556,VA,014,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,70a7b9ad8541e581ea24d0ce3dddbf06c9acc38f690a11bbaa84f5f454512697,읻따,pron_1,338603,VA,015,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
2020,SD2001376,SDRW2000001214.1.1.95,있다,3,평가가 절하돼 있다,평가가 절하돼 있다,position_exact,있/VX+다/EF,있/VX+다/EF,9e0990419e9989214711bdff3b7548d0c68988b484dbe5cc66a12d86f89afb3c,읻따,pron_1,334226,VA,016,surface_only_morphologically_composed,reference_only,표면 철자는 같지만 여러 형태소로 구성되어 단일 사전 표제어의 발음을 이 occurrence에 적용할 근거가 없음,pending_full_occurrence_audit,B가 더 나음,있다의 격음이 경음으로 표기됨. 다만 t͈ 부분에 대한 해석 필요,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001214.csv
